puzzle_id,rating,moves,themes,fen,solution_depth,description,algo,heuristic,found,solution_length,nodes_expanded,runtime,reached_max_nodes
001wb,1231,h2g3 g6h5,['mate' 'mateIn1' 'middlegame' 'oneMove'],r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17,1,['mate' 'mateIn1' 'middlegame' 'oneMove'],astar,mate_in_one_heuristic,1,2,4,0.008304375005536713,0
001wb,1231,h2g3 g6h5,['mate' 'mateIn1' 'middlegame' 'oneMove'],r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17,1,['mate' 'mateIn1' 'middlegame' 'oneMove'],astar,attacker_proximity_heuristic,1,2,7,0.005337667003914248,0
001wb,1231,h2g3 g6h5,['mate' 'mateIn1' 'middlegame' 'oneMove'],r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17,1,['mate' 'mateIn1' 'middlegame' 'oneMove'],astar,opponent_king_escape_heuristic,1,4,319,0.7513319589997991,0
001wb,1231,h2g3 g6h5,['mate' 'mateIn1' 'middlegame' 'oneMove'],r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17,1,['mate' 'mateIn1' 'middlegame' 'oneMove'],astar,mobility_heuristic,1,2,3,0.0021553750048042275,0
001wb,1231,h2g3 g6h5,['mate' 'mateIn1' 'middlegame' 'oneMove'],r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17,1,['mate' 'mateIn1' 'middlegame' 'oneMove'],astar,checks_available_heuristic,1,2,4,0.006586458002857398,0
001wb,1231,h2g3 g6h5,['mate' 'mateIn1' 'middlegame' 'oneMove'],r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17,1,['mate' 'mateIn1' 'middlegame' 'oneMove'],astar,composite_heuristic,1,2,3,0.010255000001052395,0
002CP,926,f2e3 g6c2,['endgame' 'mate' 'mateIn1' 'oneMove' 'queensideAttack'],r5k1/pp4pp/4p1q1/4p3/3n4/P5P1/1PP2Q1P/2KR1R2 w - - 4 24,1,['endgame' 'mate' 'mateIn1' 'oneMove' 'queensideAttack'],bfs,na,1,2,87,0.07983087500178954,0
002CP,926,f2e3 g6c2,['endgame' 'mate' 'mateIn1' 'oneMove' 'queensideAttack'],r5k1/pp4pp/4p1q1/4p3/3n4/P5P1/1PP2Q1P/2KR1R2 w - - 4 24,1,['endgame' 'mate' 'mateIn1' 'oneMove' 'queensideAttack'],dfs,na,1,6,102,0.003082708004512824,0
002CP,926,f2e3 g6c2,['endgame' 'mate' 'mateIn1' 'oneMove' 'queensideAttack'],r5k1/pp4pp/4p1q1/4p3/3n4/P5P1/1PP2Q1P/2KR1R2 w - - 4 24,1,['endgame' 'mate' 'mateIn1' 'oneMove' 'queensideAttack'],ucs,na,1,2,87,0.06630479099840159,0
002CP,926,f2e3 g6c2,['endgame' 'mate' 'mateIn1' 'oneMove' 'queensideAttack'],r5k1/pp4pp/4p1q1/4p3/3n4/P5P1/1PP2Q1P/2KR1R2 w - - 4 24,1,['endgame' 'mate' 'mateIn1' 'oneMove' 'queensideAttack'],astar,null_heuristic,1,2,87,0.0663459160059574,0
002CP,926,f2e3 g6c2,['endgame' 'mate' 'mateIn1' 'oneMove' 'queensideAttack'],r5k1/pp4pp/4p1q1/4p3/3n4/P5P1/1PP2Q1P/2KR1R2 w - - 4 24,1,['endgame' 'mate' 'mateIn1' 'oneMove' 'queensideAttack'],astar,material_heuristic,1,2,631,0.5509377909984323,0
